Passage,Week of entry,Number of crossings
Cape of Good Hope,2022-06-20,361
Cape of Good Hope,2022-06-27,374
Cape of Good Hope,2022-07-04,310
Cape of Good Hope,2022-07-11,361
Cape of Good Hope,2022-07-18,333
Cape of Good Hope,2022-07-25,353
Cape of Good Hope,2022-08-01,350
Cape of Good Hope,2022-08-08,334
Cape of Good Hope,2022-08-15,319
Cape of Good Hope,2022-08-22,372
Cape of Good Hope,2022-08-29,331
Cape of Good Hope,2022-09-05,388
Cape of Good Hope,2022-09-12,331
Cape of Good Hope,2022-09-19,332
Cape of Good Hope,2022-09-26,354
Cape of Good Hope,2022-10-03,323
Cape of Good Hope,2022-10-10,311
Cape of Good Hope,2022-10-17,341
Cape of Good Hope,2022-10-24,350
Cape of Good Hope,2022-10-31,360
Cape of Good Hope,2022-11-07,317
Cape of Good Hope,2022-11-14,323
Cape of Good Hope,2022-11-21,331
Cape of Good Hope,2022-11-28,353
Cape of Good Hope,2022-12-05,338
Cape of Good Hope,2022-12-12,316
Cape of Good Hope,2022-12-19,340
Cape of Good Hope,2022-12-26,320
Cape of Good Hope,2023-01-02,328
Cape of Good Hope,2023-01-09,400
Cape of Good Hope,2023-01-16,304
Cape of Good Hope,2023-01-23,337
Cape of Good Hope,2023-01-30,368
Cape of Good Hope,2023-02-06,342
Cape of Good Hope,2023-02-13,315
Cape of Good Hope,2023-02-20,327
Cape of Good Hope,2023-02-27,311
Cape of Good Hope,2023-03-06,344
Cape of Good Hope,2023-03-13,386
Cape of Good Hope,2023-03-20,323
Cape of Good Hope,2023-03-27,347
Cape of Good Hope,2023-04-03,339
Cape of Good Hope,2023-04-10,340
Cape of Good Hope,2023-04-17,377
Cape of Good Hope,2023-04-24,334
Cape of Good Hope,2023-05-01,364
Cape of Good Hope,2023-05-08,384
Cape of Good Hope,2023-05-15,372
Cape of Good Hope,2023-05-22,371
Cape of Good Hope,2023-05-29,388
Cape of Good Hope,2023-06-05,371
Cape of Good Hope,2023-06-12,334
Cape of Good Hope,2023-06-19,424
Cape of Good Hope,2023-06-26,350
Cape of Good Hope,2023-07-03,338
Cape of Good Hope,2023-07-10,401
Cape of Good Hope,2023-07-17,409
Cape of Good Hope,2023-07-24,366
Cape of Good Hope,2023-07-31,432
Cape of Good Hope,2023-08-07,387
Cape of Good Hope,2023-08-14,405
Cape of Good Hope,2023-08-21,350
Cape of Good Hope,2023-08-28,444
Cape of Good Hope,2023-09-04,377
Cape of Good Hope,2023-09-25,424
Cape of Good Hope,2023-10-02,381
Cape of Good Hope,2023-10-09,395
Cape of Good Hope,2023-10-16,396
Cape of Good Hope,2023-10-23,370
Cape of Good Hope,2023-10-30,392
Cape of Good Hope,2023-11-06,374
Cape of Good Hope,2023-11-13,417
Cape of Good Hope,2023-11-20,393
Cape of Good Hope,2023-11-27,371
Cape of Good Hope,2023-12-04,387
Cape of Good Hope,2023-12-11,429
Cape of Good Hope,2023-12-18,393
Cape of Good Hope,2023-12-25,505
Cape of Good Hope,2024-01-01,592
Cape of Good Hope,2024-01-08,578
Cape of Good Hope,2024-01-15,559
Cape of Good Hope,2024-01-22,601
Cape of Good Hope,2024-01-29,648
Cape of Good Hope,2024-02-05,628
Cape of Good Hope,2024-02-12,686
Cape of Good Hope,2024-02-19,674
Cape of Good Hope,2024-03-04,679
Cape of Good Hope,2024-03-11,655
Cape of Good Hope,2024-03-18,606
Cape of Good Hope,2024-03-25,646
Dover,2022-01-03,1164
Dover,2022-01-10,1320
Dover,2022-01-17,1312
Dover,2022-01-24,1260
Dover,2022-01-31,1189
Dover,2022-02-07,1292
Dover,2022-02-14,1059
Dover,2022-02-21,1262
Dover,2022-02-28,1318
Dover,2022-03-07,1281
Dover,2022-03-14,1251
Dover,2022-03-21,1302
Dover,2022-03-28,1295
Dover,2022-04-04,1217
Dover,2022-04-11,1319
Dover,2022-04-18,1224
Dover,2022-04-25,1351
Dover,2022-05-02,1310
Dover,2022-05-09,1160
Dover,2022-05-16,1324
Dover,2022-05-23,1283
Dover,2022-05-30,1299
Dover,2022-06-06,1314
Dover,2022-06-13,1378
Dover,2022-06-20,1342
Dover,2022-06-27,1299
Dover,2022-07-04,1325
Dover,2022-07-11,1314
Dover,2022-07-18,1290
Dover,2022-08-22,1281
