Passage,Week of entry,Number of crossings
Cape of Good Hope,20/06/2022,361
Cape of Good Hope,27/06/2022,374
Cape of Good Hope,04/07/2022,310
Cape of Good Hope,11/07/2022,361
Cape of Good Hope,18/07/2022,333
Cape of Good Hope,25/07/2022,353
Cape of Good Hope,01/08/2022,350
Cape of Good Hope,08/08/2022,334
Cape of Good Hope,15/08/2022,319
Cape of Good Hope,22/08/2022,372
Cape of Good Hope,29/08/2022,331
Cape of Good Hope,05/09/2022,388
Cape of Good Hope,12/09/2022,331
Cape of Good Hope,19/09/2022,332
Cape of Good Hope,26/09/2022,354
Cape of Good Hope,03/10/2022,323
Cape of Good Hope,10/10/2022,311
Cape of Good Hope,17/10/2022,341
Cape of Good Hope,24/10/2022,350
Cape of Good Hope,31/10/2022,360
Cape of Good Hope,07/11/2022,317
Cape of Good Hope,14/11/2022,323
Cape of Good Hope,21/11/2022,331
Cape of Good Hope,28/11/2022,353
Cape of Good Hope,05/12/2022,338
Cape of Good Hope,12/12/2022,316
Cape of Good Hope,19/12/2022,340
Cape of Good Hope,26/12/2022,320
Cape of Good Hope,02/01/2023,328
Cape of Good Hope,09/01/2023,400
Cape of Good Hope,16/01/2023,304
Cape of Good Hope,23/01/2023,337
Cape of Good Hope,30/01/2023,368
Cape of Good Hope,06/02/2023,342
Cape of Good Hope,13/02/2023,315
Cape of Good Hope,20/02/2023,327
Cape of Good Hope,27/02/2023,311
Cape of Good Hope,06/03/2023,344
Cape of Good Hope,13/03/2023,386
Cape of Good Hope,20/03/2023,323
Cape of Good Hope,27/03/2023,347
Cape of Good Hope,03/04/2023,339
Cape of Good Hope,10/04/2023,340
Cape of Good Hope,17/04/2023,377
Cape of Good Hope,24/04/2023,334
Cape of Good Hope,01/05/2023,364
Cape of Good Hope,08/05/2023,384
Cape of Good Hope,15/05/2023,372
Cape of Good Hope,22/05/2023,371
Cape of Good Hope,29/05/2023,388
Cape of Good Hope,05/06/2023,371
Cape of Good Hope,12/06/2023,334
Cape of Good Hope,19/06/2023,424
Cape of Good Hope,26/06/2023,350
Cape of Good Hope,03/07/2023,338
Cape of Good Hope,10/07/2023,401
Cape of Good Hope,17/07/2023,409
Cape of Good Hope,24/07/2023,366
Cape of Good Hope,31/07/2023,432
Cape of Good Hope,07/08/2023,387
Cape of Good Hope,14/08/2023,405
Cape of Good Hope,21/08/2023,350
Cape of Good Hope,28/08/2023,444
Cape of Good Hope,04/09/2023,377
Cape of Good Hope,25/09/2023,424
Cape of Good Hope,02/10/2023,381
Cape of Good Hope,09/10/2023,395
Cape of Good Hope,16/10/2023,396
Cape of Good Hope,23/10/2023,370
Cape of Good Hope,30/10/2023,392
Cape of Good Hope,06/11/2023,374
Cape of Good Hope,13/11/2023,417
Cape of Good Hope,20/11/2023,393
Cape of Good Hope,27/11/2023,371
Cape of Good Hope,04/12/2023,387
Cape of Good Hope,11/12/2023,429
Cape of Good Hope,18/12/2023,393
Cape of Good Hope,25/12/2023,505
Cape of Good Hope,01/01/2024,592
Cape of Good Hope,08/01/2024,578
Cape of Good Hope,15/01/2024,559
Cape of Good Hope,22/01/2024,601
Cape of Good Hope,29/01/2024,648
Cape of Good Hope,05/02/2024,628
Cape of Good Hope,12/02/2024,686
Cape of Good Hope,19/02/2024,674
Cape of Good Hope,04/03/2024,679
Cape of Good Hope,11/03/2024,655
Cape of Good Hope,18/03/2024,606
Cape of Good Hope,25/03/2024,646
Dover,03/01/2022,1164
Dover,10/01/2022,1320
Dover,17/01/2022,1312
Dover,24/01/2022,1260
Dover,31/01/2022,1189
Dover,07/02/2022,1292
Dover,14/02/2022,1059
Dover,21/02/2022,1262
Dover,28/02/2022,1318
Dover,07/03/2022,1281
Dover,14/03/2022,1251
Dover,21/03/2022,1302
Dover,28/03/2022,1295
Dover,04/04/2022,1217
Dover,11/04/2022,1319
Dover,18/04/2022,1224
Dover,25/04/2022,1351
Dover,02/05/2022,1310
Dover,09/05/2022,1160
Dover,16/05/2022,1324
Dover,23/05/2022,1283
Dover,30/05/2022,1299
Dover,06/06/2022,1314
Dover,13/06/2022,1378
Dover,20/06/2022,1342
Dover,27/06/2022,1299
Dover,04/07/2022,1325
Dover,11/07/2022,1314
Dover,18/07/2022,1290
Dover,22/08/2022,1281
Dover,29/08/2022,1294
Dover,05/09/2022,1305
Dover,19/09/2022,1353
Dover,26/09/2022,1315
Dover,03/10/2022,1339
Dover,10/10/2022,1341
Dover,17/10/2022,1296
Dover,24/10/2022,1344
Dover,31/10/2022,1232
Dover,07/11/2022,1400
Dover,14/11/2022,1433
Dover,21/11/2022,1215
Dover,28/11/2022,1323
Dover,05/12/2022,1348
Dover,12/12/2022,1245
Dover,19/12/2022,1279
Dover,26/12/2022,1088
Dover,02/01/2023,1263
Dover,09/01/2023,1178
Dover,16/01/2023,1285
Dover,23/01/2023,1402
Dover,30/01/2023,1413
Dover,06/02/2023,1387
Dover,13/02/2023,1376
Dover,20/02/2023,1404
Dover,27/02/2023,1357
Dover,06/03/2023,1240
Dover,13/03/2023,1339
Dover,20/03/2023,1278
Dover,27/03/2023,1306
Dover,03/04/2023,1430
Dover,10/04/2023,1281
Dover,17/04/2023,1446
Dover,24/04/2023,1453
Dover,01/05/2023,1422
Dover,08/05/2023,1348
Dover,15/05/2023,1395
Dover,29/05/2023,1360
Dover,05/06/2023,1470
Dover,12/06/2023,1331
Dover,19/06/2023,1281
Dover,26/06/2023,1271
Dover,03/07/2023,1284
Dover,10/07/2023,1323
Dover,17/07/2023,1258
Dover,24/07/2023,1337
Dover,31/07/2023,1271
Dover,07/08/2023,1279
Dover,14/08/2023,1259
Dover,21/08/2023,1260
Dover,28/08/2023,1316
Dover,04/09/2023,1316
Dover,11/09/2023,1290
Dover,18/09/2023,1273
Dover,25/09/2023,1356
Dover,16/10/2023,1230
Dover,23/10/2023,1298
Dover,06/11/2023,1319
Dover,13/11/2023,1295
Dover,20/11/2023,1314
Dover,27/11/2023,1313
